"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"7","A8.E8.PLATE.1.NEW","A8.E8.PLATE.1.OLD","A8.E8.PLATE.2.NEW","A8.E8.PLATE.2.OLD","A8.E8.PLATE.3.NEW","A8.E8.PLATE.3.OLD","A8.E8.PLATE.4.NEW"
"A8-E8-PLATE 1-OLD","0.416072203108231",NA,NA,NA,NA,NA,NA
"A8-E8-PLATE 2-NEW","0.138311983039947","0.0454266264670387",NA,NA,NA,NA,NA
"A8-E8-PLATE 2-OLD","0.236252427311354","0.652749790351204","0.0256097755512081",NA,NA,NA,NA
"A8-E8-PLATE 3-NEW","0.871932249782255","0.347503621599454","0.169167204982796","0.193656340011819",NA,NA,NA
"A8-E8-PLATE 3-OLD","0.0947269408232562","0.31916363011831","0.0127980679740117","0.540365708522164","0.0827952642008432",NA,NA
"A8-E8-PLATE 4-NEW","0.0070523267761655","0.0035233263078849","0.0454266264670387","0.00304294504141281","0.0070523267761655","0.00285473249486816",NA
"A8-E8-PLATE 4-OLD","0.0796863759834617","0.0256097755512081","0.634020783870311","0.0142386757309962","0.0839427584477613","0.0070523267761655","0.0827952642008432"
"8","B2.F2.PLATE.1.NEW","B2.F2.PLATE.1.OLD","B2.F2.PLATE.2.NEW","B2.F2.PLATE.2.OLD","B2.F2.PLATE.3.NEW","B2.F2.PLATE.3.OLD","B2.F2.PLATE.4.NEW"
"B2-F2-PLATE 1-OLD","0.655651867572733",NA,NA,NA,NA,NA,NA
"B2-F2-PLATE 2-NEW","0.145608008309792","0.265710778341781",NA,NA,NA,NA,NA
"B2-F2-PLATE 2-OLD","0.768839957344866","0.79902369864813","0.20732802227295",NA,NA,NA,NA
"B2-F2-PLATE 3-NEW","0.304267016188538","0.505169801249665","0.58377200769708","0.406613419808776",NA,NA,NA
"B2-F2-PLATE 3-OLD","0.549633180838371","0.33226850236977","0.101786959905934","0.406613419808776","0.142083149261483",NA,NA
"B2-F2-PLATE 4-NEW","0.104215412627861","0.145608008309792","0.671426120898564","0.132769035271615","0.384823058363527","0.0906115267163761",NA
"B2-F2-PLATE 4-OLD","0.101786959905934","0.114739634683899","0.49185765845778","0.104215412627861","0.26201139275252","0.0906115267163761","0.721044717887562"
"9","B3.F3.PLATE.1.NEW","B3.F3.PLATE.1.OLD","B3.F3.PLATE.2.NEW","B3.F3.PLATE.2.OLD","B3.F3.PLATE.3.NEW","B3.F3.PLATE.3.OLD","B3.F3.PLATE.4.NEW"
"B3-F3-PLATE 1-OLD","0.752485911899973",NA,NA,NA,NA,NA,NA
"B3-F3-PLATE 2-NEW","0.383265002399742","0.4046358599553",NA,NA,NA,NA,NA
"B3-F3-PLATE 2-OLD","0.732910009405624","0.955268983739381","0.4046358599553",NA,NA,NA,NA
"B3-F3-PLATE 3-NEW","0.4046358599553","0.605227155394391","0.732910009405624","0.635167147971525",NA,NA,NA
"B3-F3-PLATE 3-OLD","0.50567970019525","0.4046358599553","0.159890663420478","0.4046358599553","0.252434422547453",NA,NA
"B3-F3-PLATE 4-NEW","0.159890663420478","0.159890663420478","0.4046358599553","0.159890663420478","0.360453537415429","0.111039651119309",NA
"B3-F3-PLATE 4-OLD","0.383265002399742","0.4046358599553","0.955268983739381","0.4046358599553","0.732910009405624","0.159890663420478","0.4046358599553"
"10","B4.F4.PLATE.1.NEW","B4.F4.PLATE.1.OLD","B4.F4.PLATE.2.NEW","B4.F4.PLATE.2.OLD","B4.F4.PLATE.3.NEW","B4.F4.PLATE.3.OLD","B4.F4.PLATE.4.NEW"
"B4-F4-PLATE 1-OLD","0.540484798926238",NA,NA,NA,NA,NA,NA
"B4-F4-PLATE 2-NEW","0.164289810697179","0.241166409190816",NA,NA,NA,NA,NA
"B4-F4-PLATE 2-OLD","0.568243532328732","0.939952095610924","0.241166409190816",NA,NA,NA,NA
"B4-F4-PLATE 3-NEW","0.333229501651033","0.578797217001054","0.440216535551434","0.573384941122421",NA,NA,NA
"B4-F4-PLATE 3-OLD","0.573384941122421","0.333229501651033","0.110912298099343","0.333229501651033","0.241040308303703",NA,NA
"B4-F4-PLATE 4-NEW","0.164289810697179","0.241040308303703","0.888384544109561","0.241040308303703","0.359694601116599","0.110912298099343",NA
"B4-F4-PLATE 4-OLD","0.241166409190816","0.499914036431368","0.540484798926238","0.481931083879192","0.80120076543464","0.172819386815738","0.481931083879192"
"11","B5.F5.PLATE.1.NEW","B5.F5.PLATE.1.OLD","B5.F5.PLATE.2.NEW","B5.F5.PLATE.2.OLD","B5.F5.PLATE.3.NEW","B5.F5.PLATE.3.OLD","B5.F5.PLATE.4.NEW"
"B5-F5-PLATE 1-OLD","0.592617453447397",NA,NA,NA,NA,NA,NA
"B5-F5-PLATE 2-NEW","0.0925373381821653","0.14203213509641",NA,NA,NA,NA,NA
"B5-F5-PLATE 2-OLD","0.448014689689842","0.724181753619163","0.18265931618506",NA,NA,NA,NA
"B5-F5-PLATE 3-NEW","0.282028849080135","0.491216059018608","0.304834356110808","0.677166640874302",NA,NA,NA
"B5-F5-PLATE 3-OLD","0.677166640874302","0.374084323040168","0.0642768368483615","0.282028849080135","0.18265931618506",NA,NA
"B5-F5-PLATE 4-NEW","0.0642768368483615","0.11477872536039","0.695921490324953","0.14203213509641","0.198792044461945","0.0642768368483615",NA
"B5-F5-PLATE 4-OLD","0.18265931618506","0.333126298042764","0.448014689689842","0.448014689689842","0.695921490324953","0.135056041182562","0.304834356110808"
"12","B6.F6.PLATE.1.NEW","B6.F6.PLATE.1.OLD","B6.F6.PLATE.2.NEW","B6.F6.PLATE.2.OLD","B6.F6.PLATE.3.NEW","B6.F6.PLATE.3.OLD","B6.F6.PLATE.4.NEW"
"B6-F6-PLATE 1-OLD","0.456416820672237",NA,NA,NA,NA,NA,NA
"B6-F6-PLATE 2-NEW","0.235614137172986","0.456416820672237",NA,NA,NA,NA,NA
"B6-F6-PLATE 2-OLD","0.456416820672237","0.984202807787316","0.456416820672237",NA,NA,NA,NA
"B6-F6-PLATE 3-NEW","0.250816808412489","0.456416820672237","0.891525932878711","0.456416820672237",NA,NA,NA
"B6-F6-PLATE 3-OLD","0.984202807787316","0.456416820672237","0.235614137172986","0.456416820672237","0.250816808412489",NA,NA
"B6-F6-PLATE 4-NEW","0.0965083177050893","0.235614137172986","0.456416820672237","0.235614137172986","0.381814040967311","0.0965083177050893",NA
"B6-F6-PLATE 4-OLD","0.284715126780803","0.54872111115073","0.774540861516103","0.55531628510629","0.891525932878711","0.284715126780803","0.29634156158358"
"13","B7.F7.PLATE.1.NEW","B7.F7.PLATE.1.OLD","B7.F7.PLATE.2.NEW","B7.F7.PLATE.2.OLD","B7.F7.PLATE.3.NEW","B7.F7.PLATE.3.OLD","B7.F7.PLATE.4.NEW"
"B7-F7-PLATE 1-OLD","0.671834366325715",NA,NA,NA,NA,NA,NA
"B7-F7-PLATE 2-NEW","0.106896294574448","0.166603618981936",NA,NA,NA,NA,NA
