"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"C3-G3-PLATE 1-OLD","0.109692244353639",NA,NA,NA,NA,NA,NA
"C3-G3-PLATE 2-NEW","0.175016212515694","0.0154371791645404",NA,NA,NA,NA,NA
"C3-G3-PLATE 2-OLD","0.00454271478379747","0.0404648083591998","0.00149643274193138",NA,NA,NA,NA
"C3-G3-PLATE 3-NEW","0.0198898279000591","0.237889283553029","0.00422181015852027","0.226747157604439",NA,NA,NA
"C3-G3-PLATE 3-OLD","0.00422181015852027","0.0329762347906863","0.00149643274193138","0.859589649823833","0.180990827378497",NA,NA
"C3-G3-PLATE 4-NEW","0.0485551893290542","0.564217351815308","0.00803082654677125","0.0841712166807072","0.493488686293731","0.0670127883777533",NA
"C3-G3-PLATE 4-OLD","0.00186447253690047","0.0103297077410838","0.00135171957659546","0.29331910319611","0.0485551893290542","0.361585750548203","0.0198898279000591"
"17","C4.G4.PLATE.1.NEW","C4.G4.PLATE.1.OLD","C4.G4.PLATE.2.NEW","C4.G4.PLATE.2.OLD","C4.G4.PLATE.3.NEW","C4.G4.PLATE.3.OLD","C4.G4.PLATE.4.NEW"
"C4-G4-PLATE 1-OLD","0.403862889848575",NA,NA,NA,NA,NA,NA
"C4-G4-PLATE 2-NEW","0.131115716224028","0.0388387918210389",NA,NA,NA,NA,NA
"C4-G4-PLATE 2-OLD","0.0438019952063331","0.145079939346529","0.00683597960425674",NA,NA,NA,NA
"C4-G4-PLATE 3-NEW","0.00683597960425674","0.0152353684027081","0.00220345677481731","0.131115716224028",NA,NA,NA
"C4-G4-PLATE 3-OLD","0.00683597960425674","0.0152353684027081","0.00220345677481731","0.131115716224028","0.960568377388573",NA,NA
"C4-G4-PLATE 4-NEW","0.517975172562448","0.80513039604804","0.049610517094935","0.113850162751446","0.0138156901933652","0.0138156901933652",NA
"C4-G4-PLATE 4-OLD","0.0152353684027081","0.049610517094935","0.0043913569159102","0.441038893545111","0.403862889848575","0.403862889848575","0.0388387918210389"
"18","C5.G5.PLATE.1.NEW","C5.G5.PLATE.1.OLD","C5.G5.PLATE.2.NEW","C5.G5.PLATE.2.OLD","C5.G5.PLATE.3.NEW","C5.G5.PLATE.3.OLD","C5.G5.PLATE.4.NEW"
"C5-G5-PLATE 1-OLD","0.148991677354542",NA,NA,NA,NA,NA,NA
"C5-G5-PLATE 2-NEW","0.563553157691308","0.299992999734789",NA,NA,NA,NA,NA
"C5-G5-PLATE 2-OLD","0.0219154192525413","0.204374362148542","0.0475848768360614",NA,NA,NA,NA
"C5-G5-PLATE 3-NEW","0.00584954178568889","0.0133206076597257","0.00584954178568889","0.063853006371722",NA,NA,NA
"C5-G5-PLATE 3-OLD","0.00584954178568889","0.015946456573118","0.00677968405654581","0.0919488946118463","0.729342322437659",NA,NA
"C5-G5-PLATE 4-NEW","0.0914420498083207","0.729342322437659","0.204374362148542","0.299992999734789","0.015946456573118","0.0219154192525413",NA
"C5-G5-PLATE 4-OLD","0.00768424029273262","0.0462107267990025","0.0133206076597257","0.296079895100144","0.296079895100144","0.417533523796173","0.0676095650792892"
"19","C6.G6.PLATE.1.NEW","C6.G6.PLATE.1.OLD","C6.G6.PLATE.2.NEW","C6.G6.PLATE.2.OLD","C6.G6.PLATE.3.NEW","C6.G6.PLATE.3.OLD","C6.G6.PLATE.4.NEW"
"C6-G6-PLATE 1-OLD","0.250656993249208",NA,NA,NA,NA,NA,NA
"C6-G6-PLATE 2-NEW","0.475854693855513","0.080420191199395",NA,NA,NA,NA,NA
"C6-G6-PLATE 2-OLD","0.211116879212443","0.918946567165932","0.0705735130652563",NA,NA,NA,NA
"C6-G6-PLATE 3-NEW","0.000177314060079829","0.000407653834481318","0.000177314060079829","0.000413239954646456",NA,NA,NA
"C6-G6-PLATE 3-OLD","0.000307027950023617","0.000826749022188913","0.000177314060079829","0.000875658833574259","0.446933979577845",NA,NA
"C6-G6-PLATE 4-NEW","0.44911312816319","0.0747850074649118","0.939861187394739","0.065971077020395","0.000177314060079829","0.000177314060079829",NA
"C6-G6-PLATE 4-OLD","0.00446944387076304","0.0263853799802909","0.00173688021367568","0.0304227828099089","0.00784950297727911","0.0263853799802909","0.001725239579715"
"20","C7.G7.PLATE.1.NEW","C7.G7.PLATE.1.OLD","C7.G7.PLATE.2.NEW","C7.G7.PLATE.2.OLD","C7.G7.PLATE.3.NEW","C7.G7.PLATE.3.OLD","C7.G7.PLATE.4.NEW"
"C7-G7-PLATE 1-OLD","0.193176712532047",NA,NA,NA,NA,NA,NA
"C7-G7-PLATE 2-NEW","0.12305950061121","0.768670192701819",NA,NA,NA,NA,NA
"C7-G7-PLATE 2-OLD","0.241854078603443","0.844405265527616","0.629714473583912",NA,NA,NA,NA
"C7-G7-PLATE 3-NEW","0.300628697080163","0.0496758160245709","0.0317093810271571","0.0570836192362139",NA,NA,NA
