"","diff","lwr","upr","p.adj"
"A4-E4-PLATE 2-NEW-A4-E4-PLATE 1-OLD",-2828.0703125,-5854.068118314,197.927493314002,0.0695178062270879
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 1-OLD",-1132.8974609375,-4158.8952667515,1893.1003448765,0.798842951852807
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 1-OLD",-6235.833984375,-9261.831790189,-3209.836178561,0.000565701490125803
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 1-OLD",-5199.748046875,-8225.745852689,-2173.750241061,0.00198587338197054
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 1-OLD",-2345.55859375,-5371.556399564,680.439212064002,0.155673452974116
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 1-OLD",-2079.294921875,-5105.292727689,946.702883939002,0.240044384456145
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 2-NEW",1695.1728515625,-1330.8249542515,4721.1706573765,0.427555744475463
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 2-NEW",-3407.763671875,-6433.761477689,-381.765866060998,0.0267929602129353
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 2-NEW",-2371.677734375,-5397.675540189,654.320071439002,0.149084481931873
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 2-NEW",482.51171875,-2543.486087064,3508.509524564,0.997008371671363
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 2-NEW",748.775390625,-2277.222415189,3774.773196439,0.96552554062324
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 2-OLD",-5102.9365234375,-8128.9343292515,-2076.9387176235,0.00225265494214966
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 2-OLD",-4066.8505859375,-7092.8483917515,-1040.8527801235,0.00962457386361948
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 2-OLD",-1212.6611328125,-4238.6589386265,1813.3366730015,0.748069683700857
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 2-OLD",-946.3974609375,-3972.3952667515,2079.6003448765,0.898810414513984
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 3-NEW",1036.0859375,-1989.911868314,4062.083743314,0.85464532015885
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 3-NEW",3890.275390625,864.277584810998,6916.273196439,0.012568402891922
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 3-NEW",4156.5390625,1130.541256686,7182.536868314,0.00842274060922754
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 3-OLD",2854.189453125,-171.808352689002,5880.187258939,0.0665488778975039
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 3-OLD",3120.453125,94.4553191859982,6146.450930814,0.0427763913009208
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 4-NEW",266.263671875,-2759.734133939,3292.261477689,0.999933867783467
"A5-E5-PLATE 1-OLD-A5-E5-PLATE 1-NEW",162.5400390625,-4158.95122683566,4484.03130496066,0.999999803161601
