"","diff","lwr","upr","p.adj"
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 2-NEW",12.5,-1175.03052332289,1200.03052332289,0.999999999972842
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 2-OLD",596,-591.530523322893,1783.53052332289,0.53944113712403
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 2-OLD",-75,-1262.53052332289,1112.53052332289,0.999992983393897
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 2-OLD",1197.5,9.96947667710742,2385.03052332289,0.0479407178725813
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 2-OLD",702.5,-485.030523322893,1890.03052332289,0.373569668990445
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 3-NEW",-671,-1858.53052332289,516.530523322893,0.418920674351741
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 3-NEW",601.5,-586.030523322893,1789.03052332289,0.53010986428255
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 3-NEW",106.5,-1081.03052332289,1294.03052332289,0.999924914038902
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 3-OLD",1272.5,84.9694766771074,2460.03052332289,0.035018527055279
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 3-OLD",777.5,-410.030523322893,1965.03052332289,0.280096487174496
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 4-NEW",-495,-1682.53052332289,692.530523322893,0.715620784850194
"A5-E5-PLATE 1-OLD-A5-E5-PLATE 1-NEW",245,-807.450196690442,1297.45019669044,0.97472217552158
"A5-E5-PLATE 2-NEW-A5-E5-PLATE 1-NEW",801,-251.450196690442,1853.45019669044,0.166993678705142
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 1-NEW",234,-818.450196690442,1286.45019669044,0.980127221012564
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 1-NEW",718.5,-333.950196690442,1770.95019669044,0.245235029285184
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 1-NEW",-31.5000000000002,-1083.95019669044,1020.95019669044,0.999999959785584
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 1-NEW",1270.5,218.049803309558,2322.95019669044,0.018149107959276
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 1-NEW",1009.5,-42.9501966904422,2061.95019669044,0.0613933847623724
"A5-E5-PLATE 2-NEW-A5-E5-PLATE 1-OLD",556,-496.450196690442,1608.45019669044,0.487156446293091
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 1-OLD",-11,-1063.45019669044,1041.45019669044,0.999999999974154
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 1-OLD",473.5,-578.950196690442,1525.95019669044,0.647023808203164
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 1-OLD",-276.5,-1328.95019669044,775.950196690442,0.953782002620144
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 1-OLD",1025.5,-26.9501966904422,2077.95019669044,0.0568651397175702
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 1-OLD",764.5,-287.950196690442,1816.95019669044,0.198286782428121
"A5-E5-PLATE 2-OLD-A5-E5-PLATE 2-NEW",-567,-1619.45019669044,485.450196690442,0.467161106150665
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 2-NEW",-82.5,-1134.95019669044,969.950196690442,0.999969560945526
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 2-NEW",-832.5,-1884.95019669044,219.950196690442,0.143760138567766
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 2-NEW",469.5,-582.950196690442,1521.95019669044,0.654971486636702
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 2-NEW",208.5,-843.950196690442,1260.95019669044,0.98940528703719
"A5-E5-PLATE 3-NEW-A5-E5-PLATE 2-OLD",484.5,-567.950196690442,1536.95019669044,0.625159377585668
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 2-OLD",-265.5,-1317.95019669044,786.950196690442,0.962063600069914
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 2-OLD",1036.5,-15.9501966904422,2088.95019669044,0.0539525205535554
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 2-OLD",775.5,-276.950196690442,1827.95019669044,0.188330601586414
"A5-E5-PLATE 3-OLD-A5-E5-PLATE 3-NEW",-750,-1802.45019669044,302.450196690442,0.212139316239522
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 3-NEW",552,-500.450196690442,1604.45019669044,0.494532786946162
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 3-NEW",291,-761.450196690442,1343.45019669044,0.941194382067984
"A5-E5-PLATE 4-NEW-A5-E5-PLATE 3-OLD",1302,249.549803309558,2354.45019669044,0.0157564787638772
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 3-OLD",1041,-11.450196690442,2093.45019669044,0.0528057519833652
"A5-E5-PLATE 4-OLD-A5-E5-PLATE 4-NEW",-261,-1313.45019669044,791.450196690442,0.965145088366584
"A6-E6-PLATE 1-OLD-A6-E6-PLATE 1-NEW",66.5000000000005,-1016.25739990594,1149.25739990594,0.999994202768373
"A6-E6-PLATE 2-NEW-A6-E6-PLATE 1-NEW",692,-390.757399905938,1774.75739990594,0.301275906431301
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 1-NEW",2.50000000000068,-1080.25739990594,1085.25739990594,1
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 1-NEW",628,-454.757399905938,1710.75739990594,0.392910666499125
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 1-NEW",-112,-1194.75739990594,970.757399905939,0.99980687368935
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 1-NEW",1179,96.2426000940616,2261.75739990594,0.0321518505981407
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 1-NEW",859.5,-223.257399905938,1942.25739990594,0.141754561649441
"A6-E6-PLATE 2-NEW-A6-E6-PLATE 1-OLD",625.5,-457.257399905939,1708.25739990594,0.396852864289805
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 1-OLD",-63.9999999999998,-1146.75739990594,1018.75739990594,0.999995540668121
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 1-OLD",561.5,-521.257399905939,1644.25739990594,0.50610208277092
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 1-OLD",-178.5,-1261.25739990594,904.257399905939,0.996345834489525
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 1-OLD",1112.5,29.7426000940611,2195.25739990594,0.0435825763306634
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 1-OLD",793,-289.757399905939,1875.75739990594,0.192524422207532
"A6-E6-PLATE 2-OLD-A6-E6-PLATE 2-NEW",-689.5,-1772.25739990594,393.257399905939,0.304515183824947
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 2-NEW",-64,-1146.75739990594,1018.75739990594,0.999995540668121
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 2-NEW",-804,-1886.75739990594,278.757399905939,0.183098793710934
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 2-NEW",487,-595.757399905939,1569.75739990594,0.647285170524498
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 2-NEW",167.5,-915.257399905939,1250.25739990594,0.997510064727847
"A6-E6-PLATE 3-NEW-A6-E6-PLATE 2-OLD",625.5,-457.257399905939,1708.25739990594,0.396852864289806
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 2-OLD",-114.5,-1197.25739990594,968.257399905939,0.999776798550819
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 2-OLD",1176.5,93.7426000940609,2259.25739990594,0.0325189797578282
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 2-OLD",857,-225.757399905939,1939.75739990594,0.143409215093284
"A6-E6-PLATE 3-OLD-A6-E6-PLATE 3-NEW",-740,-1822.75739990594,342.757399905939,0.244356441766737
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 3-NEW",551,-531.757399905939,1633.75739990594,0.525354046781598
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 3-NEW",231.5,-851.257399905939,1314.25739990594,0.983883328629276
"A6-E6-PLATE 4-NEW-A6-E6-PLATE 3-OLD",1291,208.242600094061,2373.75739990594,0.0194785336137503
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 3-OLD",971.5,-111.257399905939,2054.25739990594,0.0839945565693685
"A6-E6-PLATE 4-OLD-A6-E6-PLATE 4-NEW",-319.5,-1402.25739990594,763.257399905939,0.921142161410579
"A7-E7-PLATE 1-OLD-A7-E7-PLATE 1-NEW",72,-1104.18427452594,1248.18427452594,0.999994332211957
"A7-E7-PLATE 2-NEW-A7-E7-PLATE 1-NEW",601.5,-574.68427452594,1777.68427452594,0.520334710410181
