"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
39,"Specimen_001_E7_E07_055.fcs",34321.041015625,108.580001831055,9176.39564648437,162.739859116364,105.113956714597,316.089891663724
40,"Specimen_001_E8_E08_056.fcs",35460.216796875,166.834999084473,9341.35856210937,249.727362380981,70.6638260647372,212.546629852652
41,"Specimen_001_F1_F01_061.fcs",NA,99.9599990844727,NA,111.664384865952,NA,NA
42,"Specimen_001_F2_F02_062.fcs",8037.11987304688,121.379997253418,3949.37846896973,140.880636736488,28.0937822938703,66.2145333243576
43,"Specimen_001_F3_F03_063.fcs",12614.279296875,150.360000610352,5955.20848662109,162.735715401888,38.294971898099,83.8938497317788
44,"Specimen_001_F4_F04_064.fcs",18820.19921875,151.619995117188,8706.7393078125,182.298306470299,51.2033808352312,124.127422667464
45,"Specimen_001_F5_F05_065.fcs",26748.119140625,160.440002441406,11981.6417773437,185.857384413147,71.5270991845048,166.71726959362
46,"Specimen_001_F6_F06_066.fcs",32975.458984375,170.519996643066,14099.5870036133,232.039030592537,70.6884072562296,193.381771249969
47,"Specimen_001_F7_F07_067.fcs",39686.21875,207.479995727539,16811.0522601562,394.133911206818,50.0829002931905,191.277325849359
48,"Specimen_001_F8_F08_068.fcs",46396.138671875,241.919998168945,19681.2268544922,375.918138894653,61.3886560640803,191.782982072752
49,"Specimen_001_G1_G01_073.fcs",2634.79992675781,232.399993896484,1148.54054686279,254.516558028221,4.71953563939629,11.3373493801872
50,"Specimen_001_G2_G02_074.fcs",4651.5,219.099990844727,2842.03428266602,212.730663009834,10.4178681776364,21.2300328359961
51,"Specimen_001_G3_G03_075.fcs",6679.0498046875,151.549995422363,4153.36809606934,202.086394957924,16.1502703104388,44.0715935759238
52,"Specimen_001_G4_G04_076.fcs",10062.5,141.399993896484,5562.70914345703,230.505307681274,21.5203287635825,71.1633694083928
53,"Specimen_001_G5_G05_077.fcs",14582.3994140625,219.449996948242,8478.58458847655,442.877017214966,16.2155055001902,66.4497590195993
54,"Specimen_001_G6_G06_078.fcs",19569.5498046875,207.899993896484,9855.17410698242,464.159076148224,20.8566963415449,94.1296314536276
