"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-"
27,"Specimen_001_D3_D03_228.fcs",35391.193359375,69.3000030517578,8663.68042636719,61.318213587284
28,"Specimen_001_D4_D04_229.fcs",35944.01953125,67.4099960327148,9775.7313375,54.3527473363876
29,"Specimen_001_D5_D05_230.fcs",34526.833984375,66.7799987792969,9403.97259160156,52.4844820213318
30,"Specimen_001_D6_D06_231.fcs",34880.578125,71.1900024414062,8885.31852734375,60.7238075256347
31,"Specimen_001_D7_D07_232.fcs",35060.12890625,66.7799987792969,9757.600171875,58.9049963951111
32,"Specimen_001_D8_D08_233.fcs",34504.46875,63,9158.24413671875,51.3449983596802
33,"Specimen_001_E1_E01_238.fcs",NA,45.9899978637695,NA,29.0828784051895
34,"Specimen_001_E2_E02_239.fcs",34469.8203125,76.8600006103516,8610.87462265625,72.1481065063476
35,"Specimen_001_E3_E03_240.fcs",36382.185546875,73.0800018310547,9043.53933134766,64.2382669677734
36,"Specimen_001_E4_E04_241.fcs",34678.978515625,71.1900024414062,8248.47258251953,68.039999961853
37,"Specimen_001_E5_E05_242.fcs",34388.865234375,67.0949974060059,8844.43719365234,52.3387312030792
38,"Specimen_001_E6_E06_243.fcs",35659.890625,66.7799987792969,8687.67222558593,49.1400012969971
39,"Specimen_001_E7_E07_244.fcs",34843.408203125,67.4099960327148,8638.60607128906,51.975001335144
40,"Specimen_001_E8_E08_245.fcs",34794.900390625,66.7799987792969,9586.97145996093,52.4941205902099
41,"Specimen_001_F1_F01_250.fcs",NA,47.25,NA,29.6145995972633
42,"Specimen_001_F2_F02_251.fcs",35967.013671875,66.1500015258789,8198.81506591797,62.2296000685215
43,"Specimen_001_F3_F03_252.fcs",34999.01953125,69.3000030517578,9141.90878222656,63.9713999176025
44,"Specimen_001_F4_F04_253.fcs",35130.69140625,64.8899993896484,9169.1110546875,56.0699996948242
45,"Specimen_001_F5_F05_254.fcs",35238.41796875,69.9300003051758,9414.24783164063,68.8234687889098
46,"Specimen_001_F6_F06_255.fcs",36059.94140625,93.870002746582,8529.13447109374,107.619622227478
47,"Specimen_001_F7_F07_256.fcs",34593.30078125,64.2600021362305,9210.6336984375,52.7638533578873
48,"Specimen_001_F8_F08_257.fcs",35076.826171875,78.120002746582,8405.93093730469,90.4049973487854
49,"Specimen_001_G1_G01_262.fcs",NA,44.7299995422363,NA,30.3795453276634
50,"Specimen_001_G2_G02_263.fcs",34735.048828125,67.7249984741211,9196.06369785156,62.3801700958729
51,"Specimen_001_G3_G03_264.fcs",35995.6796875,69.3000030517578,8612.12578125,61.1099982261658
52,"Specimen_001_G4_G04_265.fcs",34781.669921875,69.6150016784668,8983.32470957032,63.96481144104
53,"Specimen_001_G5_G05_266.fcs",35419.544921875,63,9423.49920146484,65.5789710910797
54,"Specimen_001_G6_G06_267.fcs",35342.685546875,74.9700012207031,8076.09638046875,66.0896480374336
55,"Specimen_001_G7_G07_268.fcs",35424.8984375,66.7799987792969,8761.75009570312,57.9599962234497
56,"Specimen_001_G8_G08_269.fcs",34782.30078125,69.3000030517578,9187.84145703125,62.9999980926514
57,"Specimen_001_H1_H01_274.fcs",NA,47.25,NA,28.9064165939331
58,"Specimen_001_H2_H02_275.fcs",35219.205078125,67.4099960327148,8816.1068140625,65.2049980163574
59,"Specimen_001_H3_H03_276.fcs",35136.359375,63,9179.0135859375,52.9199991226196
60,"Specimen_001_H4_H04_277.fcs",34469.50390625,68.0400009155273,8645.89517255859,59.5349960327148
61,"Specimen_001_H5_H05_278.fcs",34345.7109375,64.2600021362305,8865.689459375,55.2405729961395
62,"Specimen_001_H6_H06_279.fcs",35538.298828125,66.1500015258789,8254.72436533203,59.8499960899353
63,"Specimen_001_H7_H07_280.fcs",34937.908203125,75.5999984741211,9183.22006035156,85.5793573231697
64,"Specimen_001_H8_H08_281.fcs",35509.3203125,77.1749992370605,8177.93140371094,91.2239678096294
